#Duplication rate	Coverage
1.0	1491080.0
2.0	570898.0
3.0	221409.0
4.0	89925.0
5.0	37946.0
6.0	17668.0
7.0	9323.0
8.0	5659.0
9.0	3662.0
10.0	2600.0
11.0	1880.0
12.0	1432.0
13.0	1095.0
14.0	847.0
15.0	676.0
16.0	548.0
17.0	454.0
18.0	344.0
19.0	293.0
20.0	237.0
21.0	174.0
22.0	155.0
23.0	124.0
24.0	101.0
25.0	75.0
26.0	86.0
27.0	55.0
28.0	52.0
29.0	35.0
30.0	43.0
31.0	30.0
32.0	24.0
33.0	20.0
34.0	24.0
35.0	21.0
36.0	13.0
37.0	13.0
38.0	7.0
39.0	2.0
40.0	10.0
41.0	5.0
42.0	5.0
43.0	7.0
44.0	4.0
45.0	2.0
46.0	3.0
47.0	4.0
48.0	8.0
49.0	0.0
50.0	83.0
